name,address,lat,lng
종암SK DT,서울 성북구 종암동 10-15,37.5957800,127.0360251
서울번동DT점,서울 강북구 번동 106,37.6211420,127.0452450
미아DT,서울 강북구 미아동 682-12,37.6180930,127.0217080
방학역DT점,서울 도봉구 도봉동 620-25,37.6700480,127.0432740
상계DT,서울 노원구 상계동 1022,37.6723950,127.0562230
신월남부 DT점,서울 양천구 신월동 525-1,37.5197288,126.8387402
파리공원점,서울 양천구 목동 908-25,37.537162,126.881005
신월DT,서울 양천구 신월동 199-3,37.5314234,126.8308779
등촌 DT,서울 강서구 등촌동 630,37.5582134,126.8597362
염창 DT점,서울 강서구 염창동 280-11,37.5476270,126.8715000
우장산DT,서울시 강서구 화곡동 1026,37.5450630,126.8373360
부산명지DT점,부산 강서구 명지동 3420-7,35.0974674,128.9225055
고척DT,서울 구로구 고척동 73-20,37.4972280,126.8635360
서울시흥DT,서울 금천구 시흥동 903-4,37.4504600,126.9026210
양평SK DT,서울 영등포구 양평동3가 80-2,37.5309805,126.893343
양재 SK DT,서울 서초구 양재동 81,37.478071,127.03961
서초GS점,서울 서초구 서초동 1536-1,37.486518,127.009527
청담DT,서울 강남구 청담동 87-3,37.5237111,127.0403004
강남삼성DT,서울 강남구 삼성동 113-7,37.5108629,127.0473756
가락DT점,서울 송파구 가락동 193-7,37.494879,127.130762
송파잠실DT,서울 송파구 잠실동 305-15,37.5043610,127.0770510
굽은다리역DT,서울 강동구 천호동 31-10,37.5472560,127.1429840
서울둔촌DT,서울 강동구 둔촌동 517-2,37.5292800,127.1373340
범일 SK DT,부산 동구 범일동 828-8,35.1375351,129.0641472
부산초량 DT,부산 동구 초량동 1198-7,35.1172315,129.0413088
부산영도DT,부산 영도구 봉래동3가 82-2,35.0928960,129.0454010
부산온천 SK DT,부산 동래구 온천동 1431-4,35.206364,129.073908
원동점,부산 동래구 안락동 65-2,35.194386,129.110998
부산사직DT점,부산 동래구 사직동 105-10,35.1943637,129.0669049
부산황령DT점,부산 남구 대연동 201,35.1448686,129.0978176
부산동명대DT점,부산 남구 용당동 524,35.1228007,129.0997316
화명 DT,부산 북구 화명동 193-1,35.240479,129.014479
부산 구남DT점,부산 북구 구포동 920-16,35.1989240,128.9959880
부산덕천 DT,부산 북구 덕천동 554-1,35.2193532,129.0064388
부산송정DT,부산 해운대구 송정동 135-2,35.18386,129.20147
달맞이 DT,부산 해운대구 중동 1777-5,35.161841,129.170957
해운대DT,부산 해운대구 우동 626-13,35.1601510,129.1596430
