name,address,lat,lng,Upso,SalesAmt,FlowPop,EmpEop,AbodePop,EmpAvgCo
종암SK DT,서울 성북구 종암동 10-15,37.59578,127.0360251,4개,"2,803만원","118,015명","13,402명","34,145명",327만원
서울번동DT점,서울 강북구 번동 106,37.621142,127.045245,3개,"3,026만원","73,710명","6,405명","30,260명",298만원
미아DT,서울 강북구 미아동 682-12,37.618093,127.021708,3개,"2,915만원","113,454명","17,220명","53,587명",302만원
방학역DT점,서울 도봉구 도봉동 620-25,37.670048,127.043274,6개,"2,221만원","85,720명","20,905명","39,538명",298만원
상계DT,서울 노원구 상계동 1022,37.672395,127.056223,2개,"9,797만원","60,915명","13,496명","40,301명",307만원
신월남부 DT점,서울 양천구 신월동 525-1,37.5197288,126.8387402,2개,"12,678만원","121,251명","18,357명","48,033명",301만원
파리공원점,서울 양천구 목동 908-25,37.537162,126.881005,4개,"3,331만원","80,037명","15,076명","33,727명",341만원
신월DT,서울 양천구 신월동 199-3,37.5314234,126.8308779,2개,"44,276만원","78,806명","15,296명","38,538명",298만원
등촌 DT,서울 강서구 등촌동 630,37.5582134,126.8597362,3개,"4,063만원","189,514명","42,127명","43,940명",337만원
염창 DT점,서울 강서구 염창동 280-11,37.547627,126.8715,9개,"3,434만원","169,861명","23,409명","57,527명",341만원
우장산DT,서울시 강서구 화곡동 1026,37.545063,126.837336,7개,"3,526만원","136,070명","23,043명","60,687명",326만원
부산명지DT점,부산 강서구 명지동 3420-7,35.0974674,128.9225055,5개,"2,347만원","104,430명","5,227명","20,602명",347만원
고척DT,서울 구로구 고척동 73-20,37.497228,126.863536,4개,"4,173만원","309,355명","17,134명","33,389명",333만원
서울시흥DT,서울 금천구 시흥동 903-4,37.45046,126.902621,6개,"3,221만원","152,424명","21,331명","35,095명",312만원
양평SK DT,서울 영등포구 양평동3가 80-2,37.5309805,126.893343,3개,"4,043만원","227,208명","58,665명","24,318명",344만원
양재 SK DT,서울 서초구 양재동 81,37.478071,127.03961,7개,"4,008만원","221,991명","64,993명","21,261명",408만원
서초GS점,서울 서초구 서초동 1536-1,37.486518,127.009527,5개,"4,131만원","308,158명","85,882명","30,915명",384만원
청담DT,서울 강남구 청담동 87-3,37.5237111,127.0403004,5개,"3,797만원","330,340명","92,036명","18,950명",382만원
강남삼성DT,서울 강남구 삼성동 113-7,37.5108629,127.0473756,4개,"5,811만원","192,859명","85,342명","37,240명",409만원
가락DT점,서울 송파구 가락동 193-7,37.494879,127.130762,1개,"13,093만원","108,135명","23,039명","45,411명",334만원
송파잠실DT,서울 송파구 잠실동 305-15,37.504361,127.077051,2개,"7,609만원","74,146명","13,722명","22,165명",358만원
굽은다리역DT,서울 강동구 천호동 31-10,37.547256,127.142984,4개,"3,381만원","114,160명","23,693명","60,232명",315만원
서울둔촌DT,서울 강동구 둔촌동 517-2,37.52928,127.137334,2개,"41,155만원","186,787명","28,858명","41,993명",352만원
범일 SK DT,부산 동구 범일동 828-8,35.1375351,129.0641472,8개,"1,437만원","245,607명","43,176명","24,165명",330만원
부산초량 DT,부산 동구 초량동 1198-7,35.1172315,129.0413088,7개,"2,014만원","232,585명","41,641명","18,428명",315만원
부산영도DT,부산 영도구 봉래동3가 82-2,35.092896,129.045401,4개,"1,676만원","110,493명","17,096명","21,778명",312만원
부산온천 SK DT,부산 동래구 온천동 1431-4,35.206364,129.073908,9개,"1,835만원","161,527명","24,558명","39,882명",315만원
원동점,부산 동래구 안락동 65-2,35.194386,129.110998,4개,"2,458만원","113,912명","12,712명","28,910명",314만원
부산사직DT점,부산 동래구 사직동 105-10,35.1943637,129.0669049,2개,0만원,"148,123명","17,388명","36,066명",316만원
부산황령DT점,부산 남구 대연동 201,35.1448686,129.0978176,0개,0만원,"30,149명","1,953명","8,006명",323만원
부산동명대DT점,부산 남구 용당동 524,35.1228007,129.0997316,1개,"2,113만원","41,638명","7,806명","7,553명",317만원
화명 DT,부산 북구 화명동 193-1,35.240479,129.014479,6개,"2,303만원","141,288명","11,937명","27,966명",293만원
부산 구남DT점,부산 북구 구포동 920-16,35.198924,128.995988,1개,"1,438만원","83,220명","10,191명","21,894명",311만원
부산덕천 DT,부산 북구 덕천동 554-1,35.2193532,129.0064388,3개,"2,097만원","79,527명","5,642명","19,810명",312만원
부산송정DT,부산 해운대구 송정동 135-2,35.18386,129.20147,1개,"16,758만원","61,524명","3,909명","6,828명",315만원
달맞이 DT,부산 해운대구 중동 1777-5,35.161841,129.170957,4개,"2,509만원","96,945명","17,204명","24,266명",313만원
해운대DT,부산 해운대구 우동 626-13,35.160151,129.159643,6개,"3,025만원","181,952명","21,527명","10,964명",332만원
부산다대DT점,부산 사하구 다대동 1160-12,35.0587439,128.9715034,1개,0만원,"49,330명","6,795명","17,033명",306만원
부산하단DT,부산 사하구 하단동 619-20,35.1040914,128.9711394,8개,"2,037만원","305,706명","19,176명","26,593명",305만원
부산구서DT,부산 금정구 구서동 163-2,35.2589962,129.0909939,1개,"26,144만원","39,699명","14,650명","30,188명",322만원
