name,address,lat,lng,Upso,SalesAmt,FlowPop,EmpEop,AbodePop,EmpAvgCo
공릉DT,서울특별시 노원구 동일로 1015 (공릉동),37.6206884,127.0743116,124개,"1,177만원","273,462명","21,551명","49,991명",310만원
태릉입구역DT,서울특별시 노원구 화랑로 469 (공릉동),37.61942,127.07932,124개,"1,109만원","290,060명","20,890명","52,184명",313만원
구리갈매DT,경기도 구리시 갈매순환로 148 (갈매동),37.63237,127.1226,56개,977만원,"126,408명","6,163명","19,835명",331만원
도봉로DT,서울특별시 도봉구 도봉로 635 (쌍문동),37.66118059,127.04163,82개,"1,277만원","85,236명","22,609명","49,878명",298만원
종암DT,서울특별시 성북구 종암로 17 (종암동),37.5919525,127.0360401,76개,950만원,"104,952명","21,495명","26,744명",327만원
구리인창DT,경기도 구리시 건원대로 53 (인창동),37.60568,127.13928,80개,"1,198만원","245,558명","23,509명","39,211명",316만원
의정부장암DT,경기도 의정부시 동일로 114 (장암동),37.69925,127.05465,1개,"3,710만원","71,397명","1,484명","1,470명",310만원
다산DT,경기도 남양주시 다산중앙로 19번길5 (다산동),37.61424,127.15537,43개,"1,221만원","110,517명","11,396명","28,759명",339만원
구리토평DT,경기도 구리시 벌말로 88 (토평동),37.584632,127.147385,10개,"1,013만원","40,707명","4,401명","8,396명",307만원
의정부회룡역DT,경기도 의정부시 평화로 341 (호원동),37.722373,127.047477,38개,"1,280만원","46,361명","9,573명","30,241명",301만원
구의DT,서울특별시 광진구 광나루로 519 (구의동),37.54529838,127.0871967,65개,"1,138만원","67,153명","16,742명","42,786명",329만원
강동암사DT,서울특별시 강동구 고덕로 43 (암사동),37.55511597,127.1299705,65개,"1,010만원","74,546명","14,906명","38,340명",309만원
의정부신곡DT,경기도 의정부시 회룡로 269 (신곡동),37.726826,127.064015,14개,"1,101만원","50,232명","4,593명","24,083명",302만원
의정부용현DT,경기도 의정부시 시민로 468 (용현동),37.73038983,127.0842455,25개,"1,355만원","62,648명","5,203명","16,489명",372만원
의정부예술의전당DT,경기도 의정부시 경의로 31 (의정부동),37.7330525,127.0388483,62개,942만원,"74,897명","21,620명","29,010명",306만원
의정부송산역DT,경기도 의정부시 충의로 95 (용현동),37.74016423,127.0856858,51개,"1,119만원","77,295명","14,376명","29,823명",316만원
진관DT,서울특별시 은평구 연서로 645 (진관동),37.6501787,126.9361968,8개,"1,506만원","15,892명",759명,"3,478명",365만원
강동구청DT,서울특별시 강동구 성내로 32 (성내동),37.52938776,127.1238477,118개,"1,181만원","107,536명","33,577명","39,679명",342만원
하남미사DT,경기도 하남시 미사강변남로 35 (망월동),37.55997203,127.1857908,89개,"1,389만원","138,524명","10,159명","39,356명",418만원
남양주연평DT,경기도 남양주시 진접읍 해밀예당1로 27,37.71152699,127.1855278,24개,"1,084만원","152,194명","5,894명","10,615명",316만원
양주송추DT,경기도 양주시 장흥면 호국로 528,37.717529,126.973093,6개,"1,260만원","55,627명","1,502명","3,644명",307만원
남양주진접DT,경기도 남양주시 진접읍 금강로 1477,37.72288064,127.1902974,18개,974만원,"97,355명","4,355명","12,874명",321만원
의정부녹양DT,경기도 의정부시 비우로 119 (가능동),37.758477,127.040289,28개,"1,091만원","90,962명","8,325명","21,586명",323만원
평내DT,경기도 남양주시 경춘로 1269,37.6477605,127.2346938,45개,"1,039만원","59,273명","9,446명","27,356명",316만원
송파나루역DT,서울특별시 송파구 오금로 142 (송파동),37.51098709,127.1101186,193개,"1,961만원","359,871명","64,044명","41,096명",352만원
연희DT,서울특별시 서대문구 연희로 144 (연희동),37.5702143,126.9339777,78개,"1,725만원","85,078명","11,071명","16,125명",323만원
송파방이DT,서울특별시 송파구 오금로 241 (방이동),37.506564,127.120495,95개,"1,190만원","92,573명","26,277명","46,943명",348만원
리버사이드팔당DT,경기도 남양주시 와부읍 경강로 772,37.567114,127.228362,3개,"7,336만원","8,047명",503명,53명,321만원
북가좌DT,서울특별시 서대문구 응암로 85 (북가좌동),37.580758,126.911478,51개,"1,029만원","100,138명","15,908명","53,085명",310만원
송파마천사거리DT,서울특별시 송파구 거마로 78 (마천동),37.499829,127.147672,51개,"1,105만원","116,111명","14,368명","39,275명",327만원
고양DT,경기도 고양시 덕양구 호국로 1775 (고양동),37.7095394,126.9052947,11개,"1,016만원","48,969명","2,781명","9,224명",312만원
양주광사DT,경기도 양주시 부흥로 1872 (광사동),37.79074642,127.0727905,17개,914만원,"44,948명","3,017명","9,214명",347만원
고양원흥DT,경기도 고양시 덕양구 서오릉로663번길 8 (원흥동),37.636819,126.869261,25개,"1,917만원","46,185명","6,363명","16,512명",333만원
